Calorie,Name
96.07,cupcake
95.04,chocolate_pudding
94.92,cream_donuts
93.89,donut
91.9,cannoli
90.81,chocolate_pralines
89.17,waffle
89.15,lemon_meringue_pie
86.48,lasagna
85.92,taco
85.65,hamburger
84.76,brownie
84.25,chocolate_chip_cookies
83.0,lollies
82.38,hotdog
82.29,chocolate_bar
48.55,potatoes
47.85,cooked_prawn
47.29,raisins
45.62,salmon
45.54,swordfish
45.15,potato_and_green_bean_salad
43.93,prawn
42.28,risotto_with_peas_and_asparagus_tips
42.12,grilled_chicken_breast
42.07,minestrone_soup
41.14,green_olives
40.46,mussels
36.08,lentils
35.69,red_beans
35.58,coffee_beans
35.38,coconut
9.52,pea_pod
9.44,cabbage
9.42,spinach
9.33,spring_onions
9.13,lime
9.07,onion
8.28,broccoli
8.04,cucumber
7.0,garlic
6.67,lemon
6.56,carrot
6.45,lettuce
5.92,tomato
5.63,celery
5.21,orange
4.95,radish
0.0,boat
0.0,hat
0.0,shirt
0.0,scissors
0.0,jeans
0.0,bed
0.0,socks
0.0,closet
0.0,sofa
0.0,chair
0.0,pan
0.0,hammer
0.0,wrench
0.0,table
0.0,broom
0.0,gloves
